               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.053358,            0.044517,            0.026285,             0.37725,             0.59831,             0.45591,             0.18106,            0.052311,            0.042306,            0.023663,            0.008317,            0.008317,            0.008317
                  53,            0.053557,            0.046243,            0.024556,             0.81091,             0.36871,             0.43769,             0.16916,            0.050931,            0.041677,            0.023412,            0.008284,            0.008284,            0.008284
                  54,            0.053707,            0.047347,            0.021141,             0.82974,             0.38184,             0.44119,             0.17749,            0.055464,            0.042571,            0.023034,            0.008251,            0.008251,            0.008251
                  55,            0.058306,            0.046626,            0.024512,             0.38438,             0.57277,             0.41866,             0.18597,            0.051645,            0.040606,            0.022926,            0.008218,            0.008218,            0.008218
                  56,            0.054327,            0.059128,            0.024721,             0.42944,             0.60067,             0.51625,             0.24274,            0.044698,             0.04046,            0.022764,            0.008185,            0.008185,            0.008185
                  57,            0.047734,            0.044452,            0.025535,             0.83888,              0.3669,             0.48544,             0.21133,            0.053218,            0.040826,            0.022558,            0.008152,            0.008152,            0.008152
                  58,            0.061523,            0.047255,            0.025941,             0.50575,             0.55178,             0.35945,             0.12416,            0.057903,            0.040066,            0.022527,            0.008119,            0.008119,            0.008119
                  59,            0.058979,            0.044683,            0.023344,             0.53642,             0.59707,             0.49185,             0.24159,            0.046661,            0.039874,            0.022157,            0.008086,            0.008086,            0.008086
                  60,            0.050316,            0.045346,            0.025064,             0.77662,             0.49188,             0.53769,             0.23802,            0.042218,            0.039059,            0.022071,            0.008053,            0.008053,            0.008053
                  61,            0.046913,            0.046876,             0.02262,              0.7485,             0.49364,               0.516,             0.27016,              0.0443,            0.039453,            0.021867,             0.00802,             0.00802,             0.00802
                  62,            0.047037,            0.046522,            0.022764,              0.7789,             0.47335,             0.52683,             0.23636,            0.045953,            0.039221,             0.02212,            0.007987,            0.007987,            0.007987
                  63,            0.051287,            0.049133,             0.02179,             0.58771,             0.53711,             0.52279,              0.2392,            0.051916,            0.039243,            0.021448,            0.007954,            0.007954,            0.007954
                  64,            0.056217,            0.054283,            0.021999,             0.66534,             0.55074,             0.58175,              0.2651,            0.044924,            0.038525,            0.021617,            0.007921,            0.007921,            0.007921
